id,start_char,end_char,label,text,context
AC15207455,152,185,ORG,kais. Akademie der Wissenschaften,"usson, eorresp. Mitgliede der kais. Akademie der Wissenschaften: IV. Die letzten Staufer. 

I"
AC15207455,331,338,PER,Ottokar,"schäftigt, für welche Meister Ottokar sowohl schriftliche Behelfe a"
AC15207455,845,852,PER,Ottokar,rsten und sonstigen Grossen — Ottokar nennt von den Kurfürsten Pfal
AC15207455,885,892,LOC,Sachsen,"nnt von den Kurfürsten Pfalz, Sachsen, Brandenburg, Köln und Mainz,"
AC15207455,894,905,LOC,Brandenburg,"en Kurfürsten Pfalz, Sachsen, Brandenburg, Köln und Mainz, dann noch di"
AC15207455,907,911,LOC,Köln," Pfalz, Sachsen, Brandenburg, Köln und Mainz, dann noch die Herr"
AC15207455,916,921,LOC,Mainz,"achsen, Brandenburg, Köln und Mainz, dann noch die Herren ‚in Swä"
AC15207455,1151,1161,LOC,Salzburger,"ig von ihm zu Rathe gezogenen Salzburger Annalen, ! aber die Schilderu"
AC15207455,1358,1365,PER,Ottokar," handgreiflichen Irrthum, den Ottokar in derselben begeht, indem er"
AC15207455,1606,1631,PER,Otto III. von Brandenburg," Kind der Ehe, die sein Vater Otto III. von Brandenburg im Jahre 1244 mit Beatrix, de"
AC15207455,1934,1941,LOC,Italien,"n Anjou vom Papste schon nach Italien berufen sei, noch ehe Konrad "
AC15207455,2144,2153,PER,Seemüller,"in letzter Linie, wie bereits Seemüller angemerkt hat,? auf einer Ver"
AC15207455,2511,2525,PER,Karl von Anjou,"Missverständniss und Irrthum, Karl von Anjou und Konrad IV. einander in It"
AC15207455,3815,3831,PER,Jacobus von Aqui," ganz unzweifelhaft nicht von Jacobus von Aqui verfasst, sondern aus irgend "
AC15207455,4951,4957,LOC,Verona,. 1594 wegen der Scaligeri in Verona: Et post Albertum filii et fi
AC15207455,6132,6142,LOC,Lombardiam," 

Modo venit rex Conradus in Lombardiam cum magna comitiva militum et"
AC15207455,6316,6323,LOC,Neapels,"nnos. Dann folgt die Einnahme Neapels durch Konrad, und wird des Le"
AC15207455,6828,6835,LOC,Italien," Papst beruft den Karlot nach Italien, Konrad IV. kommt dahin, er k"
AC15207455,6921,6928,LOC,Neapels,"iegt, dann folgt die Einnahme Neapels. Die Uebereinstimmung erschei"
AC15207455,7964,7971,LOC,Apulien,"abe, dass Konrad zur See nach Apulien gekommen, seiner so vielfach "
AC15207455,8494,8500,LOC,Neapel,"hifft hat.? 
Die Einnahme von Neapel Cap. I, V. 178ff. fand der Re"
AC15207455,8772,8781,PER,Seemüller," nicht zu sagen."" ’ Schon von Seemüller I, 3, Anm. 1 bemerkt. Ann. St"
AC15207455,8918,8928,LOC,Lombardiam,"o eo nunciis sollempnibus, in Lombardiam se transtulit, inde iter in A"
